"",,,,,,,,,,,,,,Grand
Affiliate State Name,PA Nationality,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May Jun,,Jul,Aug,Sep,Total
Grand Total,,1,399,598,405,377,283,272,"915 1,533",,"1,491","1,363","3,774 11,411",
Alaska,Total,,,,,,,,1,,5,,6,12
"",Dem. Rep. Con.,,,,,,,,,,5,,4,9
"",Republic of Sou.,,,,,,,,,,,,2,2
"",Somalia,,,,,,,,1,,,,,1
Arizona,Total,,13,17,1,15,4,5,43 71,,88,33,132,422
"",Afghanistan,,,,,2,,,5 3,,8,10,7,35
"",Burma,,,,,,,,3 4,,2,5,,14
"",Burundi,,,,,,,,,,,2,1,3
"",Colombia,,,,,,,,3,,,,1,4
"",Congo,,,,,,,,,,,2,,2
"",Dem. Rep. Con.,,7,13,,12,,5,24 52,,55,11,53,232
"",Eritrea,,,,,,,,,,,,4,4
"",Ethiopia,,,,,,,,,,,,3,3
"",Iran,,,3,,1,,,1,,7,,,12
"",Iraq,,6,,,,3,,3,,6,1,9,28
"",Namibia,,,,,,,,1,,,,,1
"",Pakistan,,,1,,,1,,1,,,,,3
"",Republic of Sou.,,,,,,,,,,,,1,1
"",Rwanda,,,,1,,,,,,,1,,2
"",Somalia,,,,,,,,1,,9,1,2,13
"",Sudan,,,,,,,,,,,,8,8
"",Syria,,,,,,,,5 8,,1,,43,57
Arkansas,Total,,3,,,,,,4,,5,11,18,41
"",Burma,,1,,,,,,1,,,,5,7
"",Dem. Rep. Con.,,,,,,,,3,,5,11,5,24
"",El Salvador,,2,,,,,,,,,,,2
"",Guatemala,,,,,,,,,,,,1,1
"",Iran,,,,,,,,,,,,1,1
"",Syria,,,,,,,,,,,,6,6
California,Total,,58,60,56,37,67,77,71 75,,72,118,295,986
"",Afghanistan,,4,,3,11,22,39,13 40,,30,55,61,278
"",Armenia,,,,,,,3,3 4,,7,,13,30
"",Burma,,6,,,,,,,,2,21,8,37
"",Central African.,,,,,,,,4,,,,,4
"",Dem. Rep. Con.,,,,,,,,12,,8,,10,30
"",El Salvador,,2,7,5,2,4,,,,8,5,19,52
"",Eritrea,,4,,,,3,,,,,,,7
"",Ethiopia,,,,,,,,,,1,,,1
"",Guatemala,,,1,,,,,,,,,4,5
"",Iran,,,6,3,1,2,,9 4,,2,5,1,33
"",Iraq,,14,4,,1,10,,11 10,,6,6,35,97
"",Kazakhstan,,3,,,,,,,,,,1,4
"",Moldova,,2,4,4,,,5,,,,5,,20
58 60 56,37,67,,77,71,,75,72,118,295,986
4 3,11,22,,39,13,,40,30,55,61,278
"",,,,3,3,,4,7,,13,30
6 Refugee Arrivals,,,,,,,,2,21,8,37
by State and Nationality,,,,,,,4,,,,4
"October 1, 2020 through September 30, 2021 12",,,,,,,,8,,10,30
"",,,,,,,,,5,19,52
"",,,,,,,,,,,7
"",,,,,,,,1,,,1
"",,,,,,,,,,4,5
6 3,1,2,,,9,,4,2,5,1,33
14 4,1,10,,,11,,10,6,6,35,97
"",,,3,,,,,,,,,1 Grand4
Affiliate State Name,PMAo lNdaotviaonality,Oct,Nov2,Dec4,Jan4,Feb,Mar,Apr5 May,Jun,Jul,Aug5,Sep Tota2l0
California,Nepal,,,,,,,,,,,1 1
"",Pakistan,,,,,,5,3,,,,8
"",Republic of Sou.,,,,,,,,,1,,8 9
"",Russia,,,1,,,4,3 9,,,,17
"",Sudan,,,,,1,,,,,,1 2
"",Syria,,,,,,,10,5,,21,114 150
"",Uganda,,,,,,,,1,,,1
"",Ukraine,,22,37,41,21,17,23 4,7,7,,19 198
"",Vietnam,,1,,,,,1,,,,2
Colorado,Total,,6,8,7,13,4,1 7,62,11,37,111 267
"",Afghanistan,,,,,,,4,,,1,11 16
"",Burma,,,,,5,,,12,,6,2 25
"",Burundi,,,,,,,,7,,,7
"",Dem. Rep. Con.,,,,,,,,12,5,21,56 94
"",Djibouti,,,,,1,,,,1,,2
"",Eritrea,,,,,,4,1,2,3,,1 11
"",Ethiopia,,,,,2,,,,1,,3
"",Guatemala,,,,,,,,,,,5 5
"",Iran,,,,,,,,1,,,2 3
"",Iraq,,,5,,,,,,1,,5 11
"",Liberia,,,,,,,2,12,,,14
"",Moldova,,2,,,,,,,,,2
"",Nepal,,,,,,,,,,,1 1
"",Pakistan,,,,,,,,,,,6 6
"",Somalia,,,,,,,,4,,1,5
"",Sudan,,,2,1,2,,,5,,,10 20
"",Syria,,,,6,,,,7,,5,5 23
"",Ukraine,,4,1,,3,,,,,3,7 18
"",Yemen,,,,,,,1,,,,1
Connecticut,Total,,2,1,6,1,,1 10,12,2,8,14 57
"",Afghanistan,,,,,1,,,,,,5 6
"",Colombia,,,,,,,6,,,,6
"",Dem. Rep. Con.,,,1,6,,,2,12,,1,22
"",Eritrea,,,,,,,,,1,,1
"",Moldova,,,,,,,1,,,,1
"",Sudan,,,,,,,,,,4,4
"",Syria,,2,,,,,2,,1,3,9 17
Delaware,Total,,,,,,,,,,3,9 12
"",Rwanda,,,,,,,,,,3,3
"",Sudan,,,,,,,,,,,9 9
Florida,Total,,20,5,12,,,5 9,39,27,20,79 216
"",Afghanistan,,,,,,,,,,,8 8
"",Burma,,,,,,,,1,,,1
"",Colombia,,,,,,,,4,,,4
"",,,,,,,,,,1,,,,Grand1
Affiliate State Name,PCoAl oNmatbioanality,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun4,Jul,Aug,Sep,Total4
Florida,Cuba,,,,,,,,,,2,,,2
"",Dem. Rep. Con.,,,,,,,,1,18,18,7,15,59
"",El Salvador,,,,,,,,,1,,3,7,11
"",Eritrea,,,,,,,,,2,1,2,1,6
"",Ethiopia,,,,,,,,,,6,,,6
"",Guatemala,,,,,,,,,,,,3,3
"",Honduras,,6,1,,,,,,,,1,5,13
"",Iran,,,,,,,,,,,,4,4
"",Iraq,,,,6,,,,,,,,,6
"",Pakistan,,,,6,,,,,,,,,6
"",Republic of Sou.,,,,,,,,,,,,1,1
"",Sudan,,,,,,,5,,13,,1,9,28
"",Syria,,,,,,,,6,,,6,26,38
"",Ukraine,,14,4,,,,,2,,,,,20
Georgia,Total,,16,11,5,13,6,7,46,65,44,34,138,385
"",Afghanistan,,,,,,5,1,6,4,3,,,19
"",Burma,,,,1,,1,,7,,13,12,7,41
"",Colombia,,,,,,,,,2,,,,2
"",Dem. Rep. Con.,,5,,,5,,5,25,50,15,18,57,180
"",El Salvador,,6,,,1,,,,,1,,8,16
"",Eritrea,,3,,,,,,,4,,,15,22
"",Ethiopia,,,,,1,,,,,,,,1
"",Guatemala,,,,3,,,,,,,,,3
"",Honduras,,,3,,,,,,,,,,3
"",Iran,,,,,1,,,,4,4,,4,13
"",Kazakhstan,,,,,,,,,1,,,,1
"",Liberia,,,,,,,,1,,,,,1
"",Moldova,,2,,,5,,1,,,,,,8
"",Pakistan,,,4,1,,,,,,,,,5
"",Republic of Sou.,,,,,,,,,,,,12,12
"",Rwanda,,,,,,,,,,7,,1,8
"",Somalia,,,,,,,,,,,,3,3
